time,months_until_fear,months_until_euphoria,fear_window_24m,fear_window_36m,euphoria_window_24m,euphoria_window_36m,confidence_fear,confidence_euphoria,confidence,fear_period_months,euphoria_period_months,fear_phase,euphoria_phase,nasdaq_close,nasdaq_sma,nasdaq_overext,nasdaq_mom_fast,nasdaq_mom_slow,vol_ann,vol_z,runup_12m,trend_break,overext_flag,mom_decel,macro_risk,fear_level,euphoria_level,fear_trigger,euphoria_trigger
1973-06-01,,,0,0,0,0,0.0,0.0,0.0,,,,,102.3,,,,,,,,0,0,0,0,0,0,0,0
1973-06-04,,,0,0,0,0,0.0,0.0,0.0,,,,,100.77,,,,,,,,0,0,0,0,0,0,0,0
1973-06-05,,,0,0,0,0,0.0,0.0,0.0,,,,,101.71,,,,,,,,0,0,0,0,0,0,0,0
1973-06-06,,,0,0,0,0,0.0,0.0,0.0,,,,,101.7,,,,,,,,0,0,0,0,0,0,0,0
1973-06-07,,,0,0,0,0,0.0,0.0,0.0,,,,,102.57,,,,,,,,0,0,0,0,0,0,0,0
1973-06-08,,,0,0,0,0,0.0,0.0,0.0,,,,,103.72,,,,,,,,0,0,0,0,0,0,0,0
1973-06-11,,,0,0,0,0,0.0,0.0,0.0,,,,,103.04,,,,,,,,0,0,0,0,0,0,0,0
1973-06-12,,,0,0,0,0,0.0,0.0,0.0,,,,,104.79,,,,,,,,0,0,0,0,0,0,0,0
1973-06-13,,,0,0,0,0,0.0,0.0,0.0,,,,,104.33,,,,,,,,0,0,0,0,0,0,0,0
1973-06-14,,,0,0,0,0,0.0,0.0,0.0,,,,,103.56,,,,,,,,0,0,0,0,0,0,0,0
1973-06-15,,,0,0,0,0,0.0,0.0,0.0,,,,,102.26,,,,,,,,0,0,0,0,0,0,0,0
1973-06-18,,,0,0,0,0,0.0,0.0,0.0,,,,,100.77,,,,,,,,0,0,0,0,0,0,0,0
1973-06-19,,,0,0,0,0,0.0,0.0,0.0,,,,,100.96,,,,,,,,0,0,0,0,0,0,0,0
1973-06-20,,,0,0,0,0,0.0,0.0,0.0,,,,,101.19,,,,,,,,0,0,0,0,0,0,0,0
1973-06-21,,,0,0,0,0,0.0,0.0,0.0,,,,,100.4,,,,,,,,0,0,0,0,0,0,0,0
1973-06-22,,,0,0,0,0,0.0,0.0,0.0,,,,,100.99,,,,,,,,0,0,0,0,0,0,0,0
1973-06-25,,,0,0,0,0,0.0,0.0,0.0,,,,,99.43,,,,,,,,0,0,0,0,0,0,0,0
1973-06-26,,,0,0,0,0,0.0,0.0,0.0,,,,,99.96,,,,,,,,0,0,0,0,0,0,0,0
1973-06-27,,,0,0,0,0,0.0,0.0,0.0,,,,,100.22,,,,,,,,0,0,0,0,0,0,0,0
1973-06-28,,,0,0,0,0,0.0,0.0,0.0,,,,,101.16,,,,,,,,0,0,0,0,0,0,0,0
1973-06-29,,,0,0,0,0,0.0,0.0,0.0,,,,,100.98,,,,,,,,0,0,0,0,0,0,0,0
1973-07-02,,,0,0,0,0,0.0,0.0,0.0,,,,,100.15,,,-0.02101661779081121,,0.15066938034172708,,,0,0,0,0,0,0,0,0
1973-07-03,,,0,0,0,0,0.0,0.0,0.0,,,,,99.45,,,-0.013099136647811815,,0.14844384372611702,,,0,0,0,0,0,0,0,0
1973-07-05,,,0,0,0,0,0.0,0.0,0.0,,,,,99.39,,,-0.022809949857437783,,0.14504627893579472,,,0,0,0,0,0,0,0,0
1973-07-06,,,0,0,0,0,0.0,0.0,0.0,,,,,99.48,,,-0.021828908554572313,,0.14202421314073224,,,0,0,0,0,0,0,0,0
1973-07-09,,,0,0,0,0,0.0,0.0,0.0,,,,,100.01,,,-0.02495856488251913,,0.1405354505936031,,,0,0,0,0,0,0,0,0
1973-07-10,,,0,0,0,0,0.0,0.0,0.0,,,,,101.18,,,-0.02448900887003458,,0.14314588841858827,,,0,0,0,0,0,0,0,0
1973-07-11,,,0,0,0,0,0.0,0.0,0.0,,,,,102.69,,,-0.0033967391304348116,,0.14795198793443584,,,0,0,0,0,0,0,0,0
1973-07-12,,,0,0,0,0,0.0,0.0,0.0,,,,,103.17,,,-0.015459490409390209,,0.14581021529134722,,,0,0,0,0,0,0,0,0
1973-07-13,,,0,0,0,0,0.0,0.0,0.0,,,,,103.03,,,-0.012460461995590921,,0.1432704755168834,,,0,0,0,0,0,0,0,0
1973-07-16,,,0,0,0,0,0.0,0.0,0.0,,,,,103.97,,,0.003959057551178091,,0.14309051484768112,,,0,0,0,0,0,0,0,0
1973-07-17,,,0,0,0,0,0.0,0.0,0.0,,,,,104.64,,,0.023274007432035893,,0.14167575937936744,,,0,0,0,0,0,0,0,0
1973-07-18,,,0,0,0,0,0.0,0.0,0.0,,,,,105.77,,,0.04961794184777224,,0.14218598542164743,,,0,0,0,0,0,0,0,0
1973-07-19,,,0,0,0,0,0.0,0.0,0.0,,,,,106.52,,,0.05507131537242471,,0.14092839981297436,,,0,0,0,0,0,0,0,0
